freebase_actor_id,CanonicalCategory,Class,Winner
/m/014qv7,,,False
/m/014r6r,,,False
/m/014rpb,,,False
/m/014rqr,,,False
/m/014t5d,,,False
/m/014v4m,,,False
/m/014v6x,,,False
/m/014wm_,,,False
/m/014x77,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/014x77,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/014xn7,,,False
/m/014xr2,,,False
/m/014xzx,,,False
/m/014y6,,,False
/m/014y7g,,,False
/m/014y7t,,,False
/m/014y_c,,,False
/m/014z8v,,,False
/m/014zcr,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/014zcr,ACTOR IN A LEADING ROLE,Acting,False
/m/014zcr,ACTOR IN A LEADING ROLE,Acting,False
/m/014zcr,ACTOR IN A LEADING ROLE,Acting,False
/m/014zn0,,,False
/m/014zxv,,,False
/m/014zzk,,,False
/m/015010,,,False
/m/015076,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01507p,,,False
/m/01509x,,,False
/m/0150bp,,,False
/m/0150j5,,,False
/m/0150rl,ACTRESS IN A LEADING ROLE,Acting,False
/m/01515w,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01515w,ACTOR IN A LEADING ROLE,Acting,False
/m/01515w,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0151fv,,,False
/m/0151w_,,,False
/m/0151xv,,,False
/m/0151zx,,,False
/m/01520h,ACTOR IN A LEADING ROLE,Acting,True
/m/01520h,ACTOR IN A LEADING ROLE,Acting,False
/m/0152cw,,,False
/m/0153vt,,,False
/m/0153y1,,,False
/m/01541z,,,False
/m/01547g,,,False
/m/0154d7,,,False
/m/0154qm,ACTRESS IN A LEADING ROLE,Acting,False
/m/0154qm,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/0154qm,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/0154qm,ACTRESS IN A LEADING ROLE,Acting,False
/m/0154qm,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/0154qm,ACTRESS IN A LEADING ROLE,Acting,True
/m/0154qm,ACTRESS IN A LEADING ROLE,Acting,False
/m/0154qm,ACTRESS IN A LEADING ROLE,Acting,False
/m/0156dg,,,False
/m/0156y1,,,False
/m/015882,,,False
/m/01598m,,,False
/m/0159h6,ACTRESS IN A LEADING ROLE,Acting,True
/m/0159h6,ACTRESS IN A LEADING ROLE,Acting,False
/m/0159h6,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/0159h6,ACTRESS IN A LEADING ROLE,Acting,False
/m/015_30,,,False
/m/015b67,,,False
/m/015brk,,,False
/m/015bw2,,,False
/m/015c2f,,,False
/m/015c4g,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015c4g,ACTOR IN A SUPPORTING ROLE,Acting,False
